Right ascension,Declination,g_band_magnitude,r_band_magnitude,i_band_magnitude,redshift,Arc Radius $R_A$ (arcsec),Field,Seeing,Exposition,gMi,gMr,rMi
35.8142083,-6.4851111,21.2,20.02,19.21,0.55,1.9,W1,,,1.9899999999999984,1.1799999999999997,0.8099999999999987
35.826375,-10.9801278,21.57,20.29,19.53,0.52,6.1,W1,,,2.039999999999999,1.2800000000000011,0.759999999999998
36.0038333,-3.7738417,23.12,22.04,20.92,0.98,2.6,W1,0.702,81.0,2.1999999999999993,1.0800000000000018,1.1199999999999974
36.020875,-4.7852778,20.0,18.68,18.1,0.36,4.3,D1,,,1.8999999999999986,1.3200000000000003,0.5799999999999983
36.1456667,-4.1930611,24.01,23.03,22.06,0.68,1.9,D1,0.702,81.0,1.9500000000000028,0.9800000000000004,0.9700000000000024
36.1469167,-4.0327389,22.49,21.21,20.13,1.13,3.5,D1,0.702,81.0,2.3599999999999994,1.2799999999999976,1.0800000000000018
36.16275,-4.0125444,20.75,19.33,18.62,0.43,3.2,D1,0.702,81.0,2.129999999999999,1.4200000000000017,0.7099999999999973
36.246875,-4.0177139,24.05,22.83,21.7,0.8,1.9,D1,0.702,81.0,2.3500000000000014,1.2200000000000024,1.129999999999999
36.296,-4.9093167,18.72,17.57,17.03,0.33,2.8,D1,,,1.6899999999999977,1.1499999999999986,0.5399999999999991
36.4114167,-4.0556556,22.09,20.64,19.52,0.62,4.3,D1,0.702,81.0,2.5700000000000003,1.4499999999999993,1.120000000000001
36.4422083,-7.6273667,20.99,19.5,18.6,0.54,5.8,W1,0.636,63.0,2.389999999999997,1.4899999999999984,0.8999999999999986
36.5297917,-4.4572944,19.36,18.44,17.97,0.17,3.7,D1,0.702,81.0,1.3900000000000006,0.9199999999999982,0.4700000000000024
36.83425,-7.822275,21.31,19.81,19.0,0.53,2.1,W1,0.636,63.0,2.3099999999999987,1.5,0.8099999999999987
36.9967083,-9.1249611,20.71,19.87,19.42,0.55,3.9,W1,0.618,80.0,1.2899999999999991,0.8399999999999999,0.4499999999999993
37.1335417,-9.8292889,20.25,18.74,18.07,0.45,6.3,W1,0.603,80.0,2.1799999999999997,1.5100000000000016,0.6699999999999982
37.3223333,-5.9015389,19.67,18.3,17.73,0.38,2.6,W1,,,1.9400000000000013,1.370000000000001,0.5700000000000003
37.6665,-3.8411278,22.36,21.89,21.32,0.27,2.1,W1,0.773,63.0,1.0399999999999991,0.46999999999999886,0.5700000000000003
37.7769167,-5.9179528,21.68,20.2,19.46,0.52,3.7,W1,,,2.219999999999999,1.4800000000000004,0.7399999999999984
38.0990417,-8.8439917,22.05,20.76,20.09,0.46,2.6,W1,0.625,80.0,1.9600000000000009,1.2899999999999991,0.6700000000000017
38.279375,-4.6439472,21.56,20.66,19.62,0.79,1.9,W1,,,1.9399999999999977,0.8999999999999986,1.0399999999999991
38.7567083,-9.9757667,21.78,20.24,19.07,0.7,4.7,W1,0.681,80.0,2.710000000000001,1.5400000000000027,1.1699999999999982
132.0985833,-4.1209139,21.17,19.63,18.85,0.51,7.4,W2,0.689,80.0,2.3200000000000003,1.5400000000000027,0.7799999999999976
132.5321667,-1.3981389,22.23,20.92,20.35,0.37,3.5,W2,0.746,63.0,1.879999999999999,1.3099999999999987,0.5700000000000003
133.0299167,-3.7211889,20.91,19.33,18.61,0.48,5.0,W2,0.566,80.0,2.3000000000000007,1.5800000000000018,0.7199999999999989
133.0348333,-4.0912111,21.62,20.26,19.59,0.43,2.4,W2,0.694,80.0,2.030000000000001,1.3599999999999994,0.6700000000000017
133.60475,-3.2480861,24.89,24.53,22.84,0.98,1.9,W2,0.566,80.0,2.0500000000000007,0.35999999999999943,1.6900000000000013
133.6939583,-1.3603,19.34,17.88,17.28,0.48,4.8,W2,0.757,80.0,2.0599999999999987,1.4600000000000009,0.5999999999999979
133.9996667,-4.1549333,21.06,19.6,18.9,0.45,2.1,W2,0.694,80.0,2.16,1.4599999999999973,0.7000000000000028
134.362125,-2.7074,19.91,18.44,17.8,0.42,2.8,W2,0.717,80.0,2.1099999999999994,1.4699999999999989,0.6400000000000006
134.3998333,-1.0201528,21.03,20.57,20.29,0.05,2.4,W2,0.558,80.0,0.740000000000002,0.46000000000000085,0.28000000000000114
134.4545833,-1.2168694,19.99,18.81,18.26,0.29,3.9,W2,0.558,80.0,1.7299999999999969,1.1799999999999997,0.5499999999999972
134.7034583,-2.6571639,19.16,18.23,17.83,0.36,3.7,W2,0.717,80.0,1.3300000000000018,0.9299999999999997,0.40000000000000213
134.810625,-3.754125,22.01,20.75,19.67,0.74,4.5,W2,0.505,80.0,2.34,1.2600000000000016,1.0799999999999983
134.97725,-1.5370528,20.87,19.47,18.85,0.66,4.3,W2,0.558,80.0,2.0199999999999996,1.4000000000000021,0.6199999999999974
135.20875,-2.5150417,20.52,19.23,18.65,0.36,3.2,W2,0.717,80.0,1.870000000000001,1.2899999999999991,0.5800000000000018
135.5850833,-2.5159111,22.76,21.97,21.41,0.63,3.0,W2,0.717,80.0,1.3500000000000014,0.7900000000000027,0.5599999999999987
136.0332083,-0.9980139,22.03,21.18,20.22,0.77,2.4,W2,0.558,80.0,1.8100000000000023,0.8500000000000014,0.9600000000000009
136.3739583,-2.0549167,20.94,19.47,18.8,0.42,2.4,W2,0.717,80.0,2.1400000000000006,1.4700000000000024,0.6699999999999982
149.9132083,2.5122167,22.72,21.2,19.92,0.74,3.2,D2,0.558,80.0,2.799999999999997,1.5199999999999996,1.2799999999999976
149.9267917,2.4989167,23.1,21.64,20.32,0.76,3.5,D2,0.558,80.0,2.780000000000001,1.4600000000000009,1.3200000000000003
149.98325,2.3171639,23.3,22.19,21.06,1.0,2.4,D2,0.558,80.0,2.240000000000002,1.1099999999999994,1.1300000000000026
150.3905833,2.3598194,21.96,20.71,20.08,0.69,3.0,D2,0.558,80.0,1.8800000000000026,1.25,0.6300000000000026
150.449125,2.3684861,22.92,21.44,20.2,0.69,3.5,D2,0.558,80.0,2.7200000000000024,1.4800000000000004,1.240000000000002
150.54675,2.1942944,23.64,22.02,20.77,0.89,2.6,D2,0.558,80.0,2.870000000000001,1.620000000000001,1.25
150.548625,2.4986778,22.81,21.55,20.56,0.77,1.9,D2,0.558,80.0,2.25,1.259999999999998,0.990000000000002
150.561875,2.6267972,23.51,22.2,21.15,0.65,2.1,D2,0.558,80.0,2.360000000000003,1.3100000000000023,1.0500000000000007
209.2055417,55.4519444,20.41,18.86,18.21,0.46,3.7,W3,,,2.1999999999999993,1.5500000000000007,0.6499999999999986
209.3561667,53.2955444,20.52,19.03,18.15,0.54,3.5,W3,0.76,63.0,2.370000000000001,1.4899999999999984,0.8800000000000026
209.9469167,55.5937694,23.4,22.63,21.57,0.87,2.2,W3,,,1.8299999999999983,0.7699999999999996,1.0599999999999987
210.167375,56.1303917,20.47,19.08,18.48,0.42,3.7,W3,0.681,80.0,1.9899999999999984,1.3900000000000006,0.5999999999999979
210.2935833,56.9056972,20.89,19.42,18.57,0.53,3.7,W3,0.681,80.0,2.3200000000000003,1.4699999999999989,0.8500000000000014
